Datetime,CL=F,TSLA
2022-10-13 09:30:00-04:00,86.56999969482422,209.66000366210938
2022-10-13 09:31:00-04:00,86.76000213623047,208.60000610351562
2022-10-13 09:32:00-04:00,86.6500015258789,206.5800018310547
2022-10-13 09:33:00-04:00,86.87000274658203,207.25
2022-10-13 09:34:00-04:00,87.04000091552734,208.67010498046875
2022-10-13 09:35:00-04:00,86.9800033569336,207.97000122070312
2022-10-13 09:36:00-04:00,86.87999725341797,207.4593048095703
2022-10-13 09:37:00-04:00,86.87999725341797,208.65199279785156
2022-10-13 09:38:00-04:00,86.87999725341797,209.14999389648438
2022-10-13 09:39:00-04:00,86.76000213623047,208.6199951171875
2022-10-13 09:40:00-04:00,86.7300033569336,208.0272979736328
2022-10-13 09:41:00-04:00,86.9800033569336,209.99850463867188
2022-10-13 09:42:00-04:00,87.01000213623047,209.9600067138672
2022-10-13 09:43:00-04:00,86.87999725341797,209.6313018798828
2022-10-13 09:44:00-04:00,86.72000122070312,208.8800048828125
2022-10-13 09:45:00-04:00,86.7699966430664,208.3426055908203
2022-10-13 09:46:00-04:00,86.7300033569336,209.2899932861328
2022-10-13 09:47:00-04:00,86.68000030517578,208.83380126953125
2022-10-13 09:48:00-04:00,86.7699966430664,208.6699981689453
2022-10-13 09:49:00-04:00,86.87999725341797,208.7899932861328
2022-10-13 09:50:00-04:00,86.95999908447266,209.72999572753906
2022-10-13 09:51:00-04:00,86.83000183105469,208.80430603027344
2022-10-13 09:52:00-04:00,86.91000366210938,209.67750549316406
2022-10-13 09:53:00-04:00,86.91000366210938,209.52000427246094
2022-10-13 09:54:00-04:00,86.83000183105469,208.61000061035156
2022-10-13 09:55:00-04:00,86.91000366210938,208.44000244140625
2022-10-13 09:56:00-04:00,86.8499984741211,207.92999267578125
2022-10-13 09:57:00-04:00,86.7300033569336,208.13999938964844
2022-10-13 09:58:00-04:00,86.69999694824219,207.81500244140625
2022-10-13 09:59:00-04:00,86.8499984741211,208.17140197753906
2022-10-13 10:00:00-04:00,86.77999877929688,207.7100067138672
2022-10-13 10:01:00-04:00,86.83999633789062,207.39999389648438
2022-10-13 10:02:00-04:00,86.83000183105469,207.08999633789062
2022-10-13 10:03:00-04:00,86.75,207.1999969482422
2022-10-13 10:04:00-04:00,86.79000091552734,207.77560424804688
2022-10-13 10:05:00-04:00,86.88999938964844,208.1999969482422
2022-10-13 10:06:00-04:00,86.73999786376953,207.85450744628906
2022-10-13 10:07:00-04:00,86.55999755859375,207.69000244140625
2022-10-13 10:08:00-04:00,86.62999725341797,208.6999969482422
2022-10-13 10:09:00-04:00,86.68000030517578,209.60800170898438
2022-10-13 10:10:00-04:00,86.58999633789062,208.47000122070312
2022-10-13 10:11:00-04:00,86.7699966430664,208.99989318847656
2022-10-13 10:12:00-04:00,86.76000213623047,209.60000610351562
2022-10-13 10:13:00-04:00,86.7300033569336,210.3800048828125
2022-10-13 10:14:00-04:00,86.7300033569336,211.10989379882812
2022-10-13 10:15:00-04:00,86.69999694824219,211.16000366210938
2022-10-13 10:16:00-04:00,86.75,211.63499450683594
2022-10-13 10:17:00-04:00,86.77999877929688,211.24000549316406
2022-10-13 10:18:00-04:00,86.72000122070312,210.91009521484375
2022-10-13 10:19:00-04:00,86.63999938964844,210.0500030517578
2022-10-13 10:20:00-04:00,86.69999694824219,209.24310302734375
2022-10-13 10:21:00-04:00,86.69000244140625,209.64999389648438
2022-10-13 10:22:00-04:00,86.63999938964844,209.6199951171875
2022-10-13 10:23:00-04:00,86.55999755859375,209.05160522460938
2022-10-13 10:24:00-04:00,86.48999786376953,209.0800018310547
2022-10-13 10:25:00-04:00,86.41000366210938,209.2100067138672
2022-10-13 10:26:00-04:00,86.43000030517578,208.0
2022-10-13 10:27:00-04:00,86.5199966430664,208.07000732421875
2022-10-13 10:28:00-04:00,86.5,208.02999877929688
2022-10-13 10:29:00-04:00,86.4800033569336,207.9499969482422
2022-10-13 10:30:00-04:00,86.56999969482422,208.5
2022-10-13 10:31:00-04:00,86.79000091552734,208.25
2022-10-13 10:32:00-04:00,86.7699966430664,208.66000366210938
2022-10-13 10:33:00-04:00,86.66999816894531,208.32530212402344
2022-10-13 10:34:00-04:00,86.63999938964844,208.0800018310547
2022-10-13 10:35:00-04:00,86.69000244140625,208.13999938964844
2022-10-13 10:36:00-04:00,86.7300033569336,208.06640625
2022-10-13 10:37:00-04:00,86.80000305175781,208.71499633789062
2022-10-13 10:38:00-04:00,86.93000030517578,208.24000549316406
2022-10-13 10:39:00-04:00,87.05999755859375,208.5399932861328
2022-10-13 10:40:00-04:00,86.95999908447266,208.17520141601562
2022-10-13 10:41:00-04:00,87.05000305175781,208.8300018310547
2022-10-13 10:42:00-04:00,87.02999877929688,208.03370666503906
2022-10-13 10:43:00-04:00,87.16000366210938,208.30999755859375
2022-10-13 10:44:00-04:00,87.1500015258789,208.09210205078125
2022-10-13 10:45:00-04:00,87.31999969482422,208.75999450683594
2022-10-13 10:46:00-04:00,87.56999969482422,208.54310607910156
2022-10-13 10:47:00-04:00,87.62000274658203,208.69259643554688
2022-10-13 10:48:00-04:00,87.56999969482422,208.7100067138672
2022-10-13 10:49:00-04:00,87.63999938964844,209.10000610351562
2022-10-13 10:50:00-04:00,87.80000305175781,208.8350067138672
2022-10-13 10:51:00-04:00,87.68000030517578,208.97000122070312
2022-10-13 10:52:00-04:00,87.73999786376953,208.67999267578125
2022-10-13 10:53:00-04:00,87.70999908447266,208.8000030517578
2022-10-13 10:54:00-04:00,87.72000122070312,209.6374053955078
